Continente,Localidade,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Senegal,Import,Crustaceans,269,151,235,43,116,99,56,50,67,52,74,80,78,190,26,103
Africa,Senegal,Import,Fish,1010,636,353,482,1243,1015,898,1812,2536,953,5480,16861,14069,18641,14467,19525
Africa,Seychelles,Export,Crustaceans,3208,2158,1308,7643,7765,5859,4575,2600,2416,208,3,0,0,0,0,55
Africa,Seychelles,Export,Fish,109941,142740,164825,286569,262203,288904,282871,277589,313959,303074,275240,351742,493120,479558,414363,360499
Africa,Seychelles,Import,Crustaceans,398,251,152,483,648,537,796,1547,1445,467,1971,2653,2211,1457,2302,3059
Africa,Seychelles,Import,Fish,9817,13941,22404,65601,73871,76962,94100,79405,61366,86205,94602,128688,145268,140867,127088,92943
Africa,Sierra Leone,Export,Crustaceans,3472,3742,8107,10997,8154,8318,6348,5522,4920,4812,5015,4750,5269,4650,3700,3600
Africa,Sierra Leone,Export,Fish,7488,7145,5229,4261,4313,4738,4733,5069,5046,5556,5541,5795,6068,6087,6141,6607
Africa,Sierra Leone,Import,Crustaceans,69,400,43,207,67,10,9,2,7,4,3,12,70,44,612,256
Africa,Sierra Leone,Import,Fish,929,1672,764,3131,1785,1945,1632,3557,3380,4048,2798,3309,2660,3344,4090,3518
Africa,Somalia,Export,Crustaceans,18,8,145,1,171,364,124,0,2286,3,113,644,337,132,22,109
Africa,Somalia,Export,Fish,2280,2960,2073,1113,2590,2276,2094,2639,2127,3064,1268,1460,686,943,1699,3217
Africa,Somalia,Import,Crustaceans,0,0,0,0,0,0,80,0,0,11,8,0,96,0,6,33
Africa,Somalia,Import,Fish,100,29,313,392,772,830,3970,2666,3745,5488,2849,6163,6301,11489,12038,15265
Africa,South Africa,Export,Crustaceans,34039,38654,45243,50662,66645,71128,62777,84163,75622,75530,88208,94846,89210,95877,103297,66326
Africa,South Africa,Export,Fish,190702,205281,211179,244797,238624,267883,236574,292138,316398,268698,283605,323177,302262,307399,356184,273069
Africa,South Africa,Import,Crustaceans,13020,13779,11674,15140,27697,40795,46305,49509,44150,48247,44502,74369,57616,74268,68420,43747
Africa,South Africa,Import,Fish,28431,30231,26911,44058,53690,58943,80921,115279,157881,181348,165281,159521,263633,265207,320346,248382
Africa,South Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Africa,South Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,366,1011,575,604
Africa,Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,169,223,772,1061
Africa,Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,97,262,54,0
Africa,Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,5174,7074,5697,6308
Africa,Sudan (former),Export,Crustaceans,0,0,5,2,7,0,0,3,8,3,0,3,0,0,0,0
Africa,Sudan (former),Export,Fish,79,167,384,459,791,639,53,187,313,143,23,171,0,0,0,0
Africa,Sudan (former),Import,Crustaceans,0,0,0,0,0,5,48,22,124,182,291,120,0,0,0,0
Africa,Sudan (former),Import,Fish,328,226,405,276,137,373,2145,2835,1803,4382,3286,7719,0,0,0,0
